,Network,User,Date,Text,Positive,Neutral,Negative,Compound
10,@CNN,Goddess Zelda,Fri Sep 22 05:07:49 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
11,@CNN,Shelley Smith,Fri Sep 22 05:07:46 +0000 2017,"RT @CNN: JUST IN: Sens. Graham &amp; Cassidy will debate Sens. Sanders &amp; Klobuchar on health care in live CNN event, Monday 9p ET https://t.co/…",0.118,0.882,0.0,0.4939
12,@CNN,Richard Oliver,Fri Sep 22 05:07:45 +0000 2017,"RT @WeWantTrump2020: BREAKING: Private pilot spots this while flying over southern New York 

Zoom in, it reads ""F U @CNN"" 

RETWEET/Share…",0.0,1.0,0.0,0.0
13,@CNN,? Adam van Noordt ?,Fri Sep 22 05:07:45 +0000 2017,"@leewochner @CNN I do it all the time.. ""I'm not going to drink tonigt"""" inner me ""bull fucking shit your not""",0.0,0.83,0.17,-0.5984
14,@CNN,Antifa Jesus,Fri Sep 22 05:07:43 +0000 2017,RT @nicholeb2000: @CNN Trump would know about deplorables.,0.0,1.0,0.0,0.0
15,@CNN,GenX Geoff,Fri Sep 22 05:07:42 +0000 2017,@CNN Can we play him some video???,0.329,0.671,0.0,0.4479
16,@CNN,Gregory R Mottola,Fri Sep 22 05:07:40 +0000 2017,@CNN There's that word again.... so Trump supporters = North Koreans???,0.292,0.708,0.0,0.5745
17,@CNN,Shawn and Krystal,Fri Sep 22 05:07:39 +0000 2017,@realDonaldTrump @congressdotgov @TheView @CNN  https://t.co/PbaqJNpI5N,0.0,1.0,0.0,0.0
18,@CNN,Eagle,Fri Sep 22 05:07:38 +0000 2017,"@Newsweek Lol..""LIST OF Desperates"" @colbertlateshow @jimmykimmel @CNN @billmaher @Trevornoah @donlemon… https://t.co/SyDoOztZaz",0.0,1.0,0.0,0.0
19,@CNN,Antifa Jesus,Fri Sep 22 05:07:35 +0000 2017,"RT @NobleShitzoo: @CNN Trump just equated his voters with that of North Koreans... 

Get a basket for them!",0.0,1.0,0.0,0.0
20,@CNN,Liomir,Fri Sep 22 05:07:32 +0000 2017,@CNN @POTUS Why can't this man be our #President ?!? #ThisIsWhatAPresidentLooksLike,0.0,1.0,0.0,0.0
21,@CNN,John Oranovsky,Fri Sep 22 05:07:31 +0000 2017,@CNN CNN try to use tenses correctly. Man was helping or man is helping maybe man helps. Good luck!,0.47,0.463,0.068,0.8832
22,@CNN,Scandalf the Orange,Fri Sep 22 05:07:30 +0000 2017,@CNN Which is another lie,0.0,1.0,0.0,0.0
23,@CNN,9??5?? Sundjata Suma,Fri Sep 22 05:07:29 +0000 2017,RT @CNN: Sean Spicer doesn't believe he ever lied to the American people during his time as White House press secretary https://t.co/XSdviI…,0.0,0.89,0.11,-0.3818
24,@CNN,blm,Fri Sep 22 05:07:27 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
25,@CNN,bob wilson,Fri Sep 22 05:07:24 +0000 2017,RT @CNN: N. Korean foreign minister hinted the country could test hydrogen bomb over Pacific. @PHancocksCNN with the latest https://t.co/7r…,0.0,0.856,0.144,-0.4939
26,@CNN,Leke,Fri Sep 22 05:07:24 +0000 2017,RT @CNN: Nigerian man helping hundreds of Boko Haram orphans earns UN’s highest honor https://t.co/w7uAf0aHNj https://t.co/W4AMQOKJoK,0.278,0.722,0.0,0.6597
27,@CNN,Fran,Fri Sep 22 05:07:24 +0000 2017,@CNN He just didn't tell the truth??? Or was it alternative facts??,0.0,0.79,0.21,-0.4445
28,@CNN,Harballsohard,Fri Sep 22 05:07:23 +0000 2017,@CNN That's a lie,0.0,1.0,0.0,0.0
29,@CNN,??Liz??,Fri Sep 22 05:07:19 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
30,@CNN,Connie White,Fri Sep 22 05:07:18 +0000 2017,"RT @AHamiltonSpirit: @JamesIsaak2 @Lesmitch529 @FoxNews @POTUS KOCH BROS BRIBE GOP-400M to cut ACA for tax cuts. @CNN @Maddow
?https://t.co…",0.0,0.701,0.299,-0.7034
31,@CNN,Rogue ?,Fri Sep 22 05:07:18 +0000 2017,@mlj2014yea @CNN Well Trump has supported democrats including Clinton over the years.,0.306,0.694,0.0,0.5267
32,@CNN,Fox Pup,Fri Sep 22 05:07:15 +0000 2017,RT @DeplorableKlary: @WeWantTrump2020 @CNN omg lmao!!!!!,0.0,1.0,0.0,0.0
33,@CNN,Scotty ?,Fri Sep 22 05:07:15 +0000 2017,RT @WORLDSTAR: North Korea out here wildin'! ?? @CNN https://t.co/dC3GAWoe3y,0.0,1.0,0.0,0.0
34,@CNN,L.M. PO'd mf'er,Fri Sep 22 05:07:11 +0000 2017,@CNN  https://t.co/KPY2h6wO1d,0.0,1.0,0.0,0.0
35,@CNN,Nanda,Fri Sep 22 05:07:10 +0000 2017,"RT @chiIIum: @CNN ??Who's signature is this? ?Says right there you can't do that, Clapper...by LAW. ????? https://t.co/ewMT97lHVG https://t…",0.0,1.0,0.0,0.0
36,@CNN,Rinaldo Delmonte,Fri Sep 22 05:07:09 +0000 2017,"@CNN Kim jong irresponsabile demone lo stesso mare ti distruggerà !!!! Sei solo un lucido demone folle ,l'inferno t… https://t.co/eVKrd3mrXl",0.0,1.0,0.0,0.0
37,@CNN,Ozan Akdag,Fri Sep 22 05:07:08 +0000 2017,@TechieWidget @WORLDSTAR @CNN They sent a missil that flew over Japan before,0.0,1.0,0.0,0.0
38,@CNN,Yuka Kimura,Fri Sep 22 05:07:06 +0000 2017,RT @CNN: N. Korean foreign minister hinted the country could test hydrogen bomb over Pacific. @PHancocksCNN with the latest https://t.co/7r…,0.0,0.856,0.144,-0.4939
39,@CNN,Fox Pup,Fri Sep 22 05:07:06 +0000 2017,"RT @WeWantTrump2020: BREAKING: Private pilot spots this while flying over southern New York 

Zoom in, it reads ""F U @CNN"" 

RETWEET/Share…",0.0,1.0,0.0,0.0
40,@CNN,Mike Anderson,Fri Sep 22 05:07:05 +0000 2017,@CNN  https://t.co/J7mqN9GIGf,0.0,1.0,0.0,0.0
41,@CNN,Gabriel Bar,Fri Sep 22 05:07:05 +0000 2017,@CNN  https://t.co/tw7CN7wsWg,0.0,1.0,0.0,0.0
42,@CNN,MiMi,Fri Sep 22 05:07:03 +0000 2017,"RT @AungAungShwe: @CNN Looks, how they destroyed Boder fences!! https://t.co/0wwS3ROo46",0.0,0.704,0.296,-0.5837
43,@CNN,???,Fri Sep 22 05:07:02 +0000 2017,"RT @CNN: Trump praises South Korean president's use of the word ""deplorable"" to describe North Korea's actions https://t.co/3aP6RP4GAY http…",0.159,0.841,0.0,0.5267
44,@CNN,5DoxMom_SSW,Fri Sep 22 05:07:02 +0000 2017,RT @SafetyPinDaily: Puerto Rico's other big problem? Congress  | Via @CNN https://t.co/zV7MZdd2Sc,0.0,0.787,0.213,-0.4019
45,@CNN,Waddy,Fri Sep 22 05:07:02 +0000 2017,@CNN Naw. Deplorable was when people voted for Trump.,0.0,1.0,0.0,0.0
46,@CNN,Donovan Ellis,Fri Sep 22 05:06:59 +0000 2017,@KDOthecoolkid @KrisScooter1063 @CNN They wont get a nuke off at an actual target. Dont care who said it first its a funny nickname.,0.243,0.757,0.0,0.7269
47,@CNN,Arole'badan,Fri Sep 22 05:06:58 +0000 2017,@CNN Really? You didn't lie but was a proponent of @alternativefacts? https://t.co/FKGTesShjR,0.0,1.0,0.0,0.0
48,@CNN,LP,Fri Sep 22 05:06:57 +0000 2017,"@ufalldownalot @CNN @tedcruz If you can't understand the process of an investigation, gathering facts and presentin… https://t.co/Qc14lJZqlN",0.0,1.0,0.0,0.0
49,@CNN,Herbert Henderson,Fri Sep 22 05:06:56 +0000 2017,@CNN I have seen too many people hurt by ACA. POTUS Obama had his chance. He blew it. We need to rid all partisansh… https://t.co/G0CC2aTyBQ,0.073,0.803,0.124,-0.34
50,@CNN,V,Fri Sep 22 05:06:53 +0000 2017,"@CNN That’s why he shouldn’t have been on the Emmys, no remorse for the part he played in the current regime.",0.097,0.729,0.174,-0.2263
51,@CNN,? Adam van Noordt ?,Fri Sep 22 05:06:52 +0000 2017,RT @8675309TuTone: @CNN  https://t.co/E7LedE5GWj,0.0,1.0,0.0,0.0
52,@CNN,Shaky,Fri Sep 22 05:06:51 +0000 2017,@CNN @PHancocksCNN Da only Superpower sits by n allow this from North Korea. I have lost hope for America's world leadership.,0.208,0.693,0.1,0.3612
53,@CNN,Austin Ernst,Fri Sep 22 05:06:50 +0000 2017,"RT @CNN: JUST IN: Sens. Graham &amp; Cassidy will debate Sens. Sanders &amp; Klobuchar on health care in live CNN event, Monday 9p ET https://t.co/…",0.118,0.882,0.0,0.4939
54,@CNN,Taslima,Fri Sep 22 05:06:48 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
55,@CNN,Jeremy Dubois,Fri Sep 22 05:06:47 +0000 2017,Way to go @CNN with the #HarveyLike Flooding! Short term memory much!,0.0,1.0,0.0,0.0
56,@CNN,Jo Leland,Fri Sep 22 05:06:47 +0000 2017,@VickiePaladino @KikiHavens @PrestonCNN @LindseyGrahamSC @BillCassidy @SenSanders @amyklobuchar @CNN Just the fact… https://t.co/uw93z4mdOX,0.0,1.0,0.0,0.0
57,@CNN,love yourself,Fri Sep 22 05:06:45 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
58,@CNN,? Adam van Noordt ?,Fri Sep 22 05:06:44 +0000 2017,"@Weinsteinlaw @CNN He must be in ""Tyrone Biggins"". Diet of peanut butter and crack sandwiches",0.0,1.0,0.0,0.0
59,@CNN,NAMJOON?,Fri Sep 22 05:06:42 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
60,@CNN,TheDon45,Fri Sep 22 05:06:42 +0000 2017,"RT @SusanStormXO: ?NEW LOGO OF #MSM ?

SMELL SH?T
Shoveled Fresh
Its all we serve @CNN @ABC @NBCNews @maddow @CBS 
Fresh Hot Piles of Poo D…",0.167,0.833,0.0,0.5574
61,@CNN,Rebecca Auge,Fri Sep 22 05:06:39 +0000 2017,RT @CNN: Sean Spicer doesn't believe he ever lied to the American people during his time as White House press secretary https://t.co/XSdviI…,0.0,0.89,0.11,-0.3818
62,@CNN,Yvonne Martin,Fri Sep 22 05:06:38 +0000 2017,RT @CNN: Canadian PM Justin Trudeau offers a rallying cry for the fight against climate change and makes a dig at the US https://t.co/b0qWP…,0.0,0.778,0.222,-0.6908
63,@CNN,??MadAsHell?,Fri Sep 22 05:06:36 +0000 2017,@starbuck13502 @CNNPolitics @LindseyGrahamSC @CNN @SenKamalaHarris @RepJoeKennedy Accepted from younger more lively… https://t.co/SexzmZzuTG,0.16,0.84,0.0,0.2732
64,@CNN,MiMi,Fri Sep 22 05:06:34 +0000 2017,RT @AungAungShwe: @CNN  https://t.co/kCNVYpa6NT,0.0,1.0,0.0,0.0
65,@CNN,G. E. Brayman,Fri Sep 22 05:06:32 +0000 2017,@CNN Two totally clueless Koch Brother servants that are selling out millions of US citizens to satisfy the whims o… https://t.co/K3OTZghRPJ,0.121,0.766,0.113,0.0534
66,@CNN,Kevin Kroger,Fri Sep 22 05:06:32 +0000 2017,@CNN he's a fucking moron then,0.0,0.534,0.466,-0.5413
67,@CNN,KatherineB,Fri Sep 22 05:06:31 +0000 2017,@pet01 @MeGminor @hannahtraining @PrestonCNN @LindseyGrahamSC @BillCassidy @SenSanders @amyklobuchar @CNN I bet you… https://t.co/6hP2SiYPRx,0.0,1.0,0.0,0.0
68,@CNN,Antifa Jesus,Fri Sep 22 05:06:31 +0000 2017,"RT @CNN: Trump praises South Korean president's use of the word ""deplorable"" to describe North Korea's actions https://t.co/3aP6RP4GAY http…",0.159,0.841,0.0,0.5267
69,@CNN,??? ?????? ??????,Fri Sep 22 05:06:30 +0000 2017,RT @CNN: Sean Spicer doesn't believe he ever lied to the American people during his time as White House press secretary https://t.co/XSdviI…,0.0,0.89,0.11,-0.3818
70,@CNN,Tim Lee,Fri Sep 22 05:06:29 +0000 2017,@CNN Wow! This proves again Republican will just lie in front of your face without any shame.,0.307,0.693,0.0,0.7681
71,@CNN,Sooz,Fri Sep 22 05:06:24 +0000 2017,"RT @CNN: Trump praises South Korean president's use of the word ""deplorable"" to describe North Korea's actions https://t.co/3aP6RP4GAY http…",0.159,0.841,0.0,0.5267
72,@CNN,Paul,Fri Sep 22 05:06:24 +0000 2017,@ViLife101 @Read_N_Learn @CNN And that's BEFORE funding expires,0.0,1.0,0.0,0.0
73,@CNN,McKenzi,Fri Sep 22 05:06:24 +0000 2017,Attorney: Tests show Aaron Hernandez had CTE @CNN https://t.co/FeawECk6DB,0.0,1.0,0.0,0.0
74,@CNN,eecaventuras,Fri Sep 22 05:06:23 +0000 2017,#PuertoRico cleans up after Maria #HurricaneMaria #Caribbean Need #Help @CNN https://t.co/aU269zbhYd,0.0,1.0,0.0,0.0
75,@CNN,L. M. Gray,Fri Sep 22 05:06:22 +0000 2017,RT @CNN: Sean Spicer doesn't believe he ever lied to the American people during his time as White House press secretary https://t.co/XSdviI…,0.0,0.89,0.11,-0.3818
76,@CNN,???,Fri Sep 22 05:06:20 +0000 2017,RT @CNN: N. Korean foreign minister hinted the country could test hydrogen bomb over Pacific. @PHancocksCNN with the latest https://t.co/7r…,0.0,0.856,0.144,-0.4939
77,@CNN,Richard D. Cloutier,Fri Sep 22 05:06:20 +0000 2017,"@CNN @PHancocksCNN If North Korea drops and H-bomb, Trump might say an F-bomb.",0.0,1.0,0.0,0.0
78,@CNN,JCLover4Trump???,Fri Sep 22 05:06:19 +0000 2017,@CNN @Acosta @maddow @MSNBC @ABC @NBCNews @CBSNews https://t.co/kNJMtngEIH,0.0,1.0,0.0,0.0
79,@CNN,Kimpossible,Fri Sep 22 05:06:16 +0000 2017,@CNN Someone put together a montage of his press conferences and make him watch it ten times. Ten times. PHONY LIAR.,0.0,0.825,0.175,-0.6166
80,@CNN,Sherry,Fri Sep 22 05:06:15 +0000 2017,@Read_N_Learn @CNN @ananavarro Any politician who supports this bill needs to go home in 2018.,0.152,0.848,0.0,0.3612
81,@CNN,Paul Chapman,Fri Sep 22 05:06:14 +0000 2017,"@CNN I don't believe he believes that statement, #SeriouslySpicer",0.0,1.0,0.0,0.0
82,@CNN,Lucky Wilder,Fri Sep 22 05:06:13 +0000 2017,"@CNN Bwahhhhh,ha,ha,ha,ha!!!...Bwahhhhh,ha,ha,ha,ha!!!...Bwahhhhh,ha,ha,ha,ha!!!...Bwahhhhh,ha,ha,ha,ha!!!...Bwahhhhh,ha,ha,ha,ha!!!...",0.0,1.0,0.0,0.0
83,@CNN,CL,Fri Sep 22 05:06:12 +0000 2017,RT @CNN: N. Korean foreign minister hinted the country could test hydrogen bomb over Pacific. @PHancocksCNN with the latest https://t.co/7r…,0.0,0.856,0.144,-0.4939
84,@CNN,Ramon Johnson,Fri Sep 22 05:06:11 +0000 2017,Axelrod: I cried when they passed Obamacare @CNN https://t.co/pFErAW4fim,0.0,0.729,0.271,-0.3818
85,@CNN,Patricia Villaescusa,Fri Sep 22 05:06:09 +0000 2017,@CNN @ananavarro The American people want and deserve the same exact health care program Congress have??,0.243,0.757,0.0,0.5423
86,@CNN,G. Willis,Fri Sep 22 05:06:05 +0000 2017,@CNN That's literally another lie.,0.0,1.0,0.0,0.0
87,@CNN,MaryCarmen Salazar,Fri Sep 22 05:06:04 +0000 2017,RT @CNN: Sean Spicer doesn't believe he ever lied to the American people during his time as White House press secretary https://t.co/XSdviI…,0.0,0.89,0.11,-0.3818
88,@CNN,andrea,Fri Sep 22 05:06:04 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/DFeP6gHruI https://t.co/Ono4a24msA,0.0,1.0,0.0,0.0
89,@CNN,Gandalf the Grey,Fri Sep 22 05:06:03 +0000 2017,@Fuctupmind @SparkleSoup45 @InTheYear1611_ @StacyLStiles @ManMountain78R3 @loganSC83 @Flewbys @CovfefeD… https://t.co/3e8fLAc6hk,0.0,1.0,0.0,0.0
90,@CNN,Patricio correa,Fri Sep 22 05:06:03 +0000 2017,RT @CNN: N. Korea's foreign minister warns Pyongyang could test a hydrogen bomb over Pacific in response to Trump's UN speech https://t.co/…,0.0,0.805,0.195,-0.5574
91,@CNN,Mia Coleman,Fri Sep 22 05:06:03 +0000 2017,"@Sweat261 @CNN Let's not nickname North Korea ""NoKo.""",0.0,1.0,0.0,0.0
92,@CNN,Rip?,Fri Sep 22 05:06:02 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
93,@CNN,#THEMEDIALIEZ,Fri Sep 22 05:06:00 +0000 2017,one of your own .one of your best ( i don't say that often)/ NOBODY willing to REPORT? what if it were U? @CNN… https://t.co/52S8JKQvUA,0.172,0.828,0.0,0.6767
94,@CNN,afrodite.,Fri Sep 22 05:05:59 +0000 2017,RT @CNN: Puerto Rico is already in an 11-year economic recession. Now it must start rebuilding after Hurricane Maria. https://t.co/SjASltDw…,0.0,0.872,0.128,-0.4215
95,@CNN,Hiram Firem,Fri Sep 22 05:05:58 +0000 2017,@CNN Good for him,0.492,0.508,0.0,0.4404
96,@CNN,Dennis,Fri Sep 22 05:05:57 +0000 2017,@CNN I think the Brooklyn Bridge is for sale. If you believe that you will believe what this liar is saying. So he is a pathological liar.,0.0,0.748,0.252,-0.8294
97,@CNN,mario has nipples??,Fri Sep 22 05:05:56 +0000 2017,"RT @CNN: ""Classic Trix"" cereal with artificial flavors is coming back after customer complaints about the all-natural version https://t.co/…",0.0,0.87,0.13,-0.4019
98,@CNN,CHEESEPUFF!,Fri Sep 22 05:05:54 +0000 2017,@CNN @PHancocksCNN Water contamination at record levels.,0.0,1.0,0.0,0.0
99,@CNN,???,Fri Sep 22 05:05:53 +0000 2017,"RT @CNN: .@ananavarro on GOP health bill: ""I think it's flawed,"" but I hope at some point we get to a bipartisan compromise https://t.co/X4…",0.155,0.845,0.0,0.5927
100,@FoxNews,Paola Lyons,Fri Sep 22 05:08:07 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
101,@FoxNews,James Evans,Fri Sep 22 05:08:06 +0000 2017,"RT @FoxNews: .@seanhannity: ""It has now become evident, now more than ever, that in America, we have a two-tiered justice system."" #Hannity…",0.145,0.855,0.0,0.5267
102,@FoxNews,Empire Decline,Fri Sep 22 05:08:04 +0000 2017,RT @TuckerCarlson: I am still not sure how Russia hacked our Democracy #Tucker @FoxNews,0.0,0.702,0.298,-0.5664
103,@FoxNews,PamelaBourrell,Fri Sep 22 05:08:02 +0000 2017,"RT @FoxNews: .@jessebwatters on @POTUS bonding with world leaders: ""@BarackObama wasn't really a people person on the world stage."" @TheFiv…",0.0,1.0,0.0,0.0
104,@FoxNews,Brian Singh,Fri Sep 22 05:08:02 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
105,@FoxNews,ann,Fri Sep 22 05:08:02 +0000 2017,@amyserwinowski @Mike241075 @KaraLA @Luckeytiger14 @FoxNews the one who traded classified info illegally? let ameri… https://t.co/cbgnSBftqO,0.0,1.0,0.0,0.0
106,@FoxNews,Stevie T,Fri Sep 22 05:08:02 +0000 2017,RT @FoxNews: Animal Abusers Could Be Made to Register Like Sex Offenders https://t.co/M61OxvKnu7,0.134,0.538,0.328,-0.5574
107,@FoxNews,MADE-IN-AMERICA,Fri Sep 22 05:08:01 +0000 2017,RT @TuckerCarlson: I am still not sure how Russia hacked our Democracy #Tucker @FoxNews,0.0,0.702,0.298,-0.5664
108,@FoxNews,Absolutely TRUMP?,Fri Sep 22 05:08:00 +0000 2017,"RT @FoxNews: Gordon Chang: ""I think the North Koreans now are very concerned because what they're starting to see is that the US can exert…",0.0,1.0,0.0,0.0
109,@FoxNews,?????? ????????,Fri Sep 22 05:07:59 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
110,@FoxNews,Dee Violette,Fri Sep 22 05:07:58 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
111,@FoxNews,Maggie ?? Jeewoo,Fri Sep 22 05:07:58 +0000 2017,@TuckerCarlson @JamesTHarris @FoxNews I am completely obsessed w these #lyrics #maga #prophecy https://t.co/WZP8fwPyy5,0.0,0.834,0.166,-0.2484
112,@FoxNews,?????? ??????,Fri Sep 22 05:07:57 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
113,@FoxNews,Jennefer Lohmann,Fri Sep 22 05:07:56 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
114,@FoxNews,Sharon Nicolette,Fri Sep 22 05:07:55 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
115,@FoxNews,Douglas Reimann,Fri Sep 22 05:07:55 +0000 2017,"@1Check_Mate @FoxNews @MaxineWaters @POTUS I believe Maxine Waters is what UCB calls; ""diversity."" I call it; ""nuts.""",0.0,1.0,0.0,0.0
116,@FoxNews,Sean Wilson,Fri Sep 22 05:07:53 +0000 2017,"RT @EricLMitchell: Gorgeous, majestic white giraffes spotted, captured on video for first time ever @FoxNews - https://t.co/1hefxYADlG #Rar…",0.2,0.8,0.0,0.6124
117,@FoxNews,Eric Rasmussen,Fri Sep 22 05:07:51 +0000 2017,"RT @FoxNews: Teen returns wallet w/ $1500 cash. Woman in home said, ""It's sad that I didn't trust him to open my door when he was just doin…",0.0,0.812,0.188,-0.7005
118,@FoxNews,Repsh08,Fri Sep 22 05:07:50 +0000 2017,"@IngermarTurner @Jragga @FoxNews Yeah, Right",0.355,0.645,0.0,0.296
119,@FoxNews,????????? ????,Fri Sep 22 05:07:49 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
120,@FoxNews,????? ???????,Fri Sep 22 05:07:48 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
121,@FoxNews,???? ???????,Fri Sep 22 05:07:48 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
122,@FoxNews,FJR,Fri Sep 22 05:07:47 +0000 2017,@FoxNews @jessebwatters @POTUS @TheFive Totally. That's why all of Europe said that they can't rely on the U.S. anymore,0.0,1.0,0.0,0.0
123,@FoxNews,?? veggie slut ??,Fri Sep 22 05:07:47 +0000 2017,@PopeWaffles @FoxNews We can gain all the nutrients we need with a plant based diet. :) with no cholesterol like meat and eggs provides.,0.296,0.631,0.073,0.7717
124,@FoxNews,Kayleigh Drone,Fri Sep 22 05:07:47 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
125,@FoxNews,(((B. Paul Stuart))),Fri Sep 22 05:07:47 +0000 2017,"RT @BrianPaulStuart: IT'S STILL TRUE.
cc: @FoxNews
#FoxNews #FauxNews #TrumpStateNews #SeanHannity #Trump #MAGA #GOP #LIES #RACISM #BIGOTRY…",0.181,0.819,0.0,0.5473
126,@FoxNews,??????,Fri Sep 22 05:07:47 +0000 2017,RT @dfghuifgh: @pdchina411 @XinhuaChinese @FoxNews #?? #?? ?????????????????????????????????????????????????????????????????????#??? #??? #…,0.0,1.0,0.0,0.0
127,@FoxNews,Dan Pennington,Fri Sep 22 05:07:46 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
128,@FoxNews,Grace won't shut up,Fri Sep 22 05:07:46 +0000 2017,@scottiemack73 @FoxNews @kimguilfoyle @FLOTUS @MichelleObama @TheFive Check your other threads.,0.0,1.0,0.0,0.0
129,@FoxNews,Niesha Dawes,Fri Sep 22 05:07:46 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
